date,BTC,LTC,XRP,ETH,BCN,sp500_close,change%,silver_close,silver_rate%,gold_close,gold_rate%
2020-07-07,9252.277344,43.318245,0.184787,239.075531,0.000206,3145.320068,-0.667,18.699,-0.024111476,1809.9,-0.005877183
2020-07-06,9375.474609,43.963493,0.188567,241.510223,0.000209,3179.719971,0.774,18.582,-0.006257019,1793.5,-0.009061274
2020-07-02,9123.410156,41.485733,0.177244,229.392197,0.000212,3130.01001,-0.434,18.322,-0.013992035,1790,-0.001951491
2020-07-01,9228.325195,41.699245,0.176976,231.113419,0.000212,3115.860107,0.32,18.218,-0.005676236,1779.9,-0.005642458
2020-06-30,9137.993164,41.467793,0.17587,226.315002,0.000217,3100.290039,1.642,18.637,0.022999232,1800.5,0.011573684
2020-06-29,9190.854492,41.851032,0.177959,228.19487,0.000216,3053.23999,1.148,18.064,-0.030745292,1781.2,-0.010719245
2020-06-26,9162.917969,43.320786,0.182671,229.668045,0.000217,3009.050049,-2.087,18.168,0.005757307,1780.3,-0.000505277
2020-06-25,9264.813477,42.56353,0.18357,232.944489,0.000216,3083.76001,1.22,18.051,-0.006439894,1770.6,-0.00544852
2020-06-24,9313.610352,42.843826,0.184272,235.772461,0.000223,3050.330078,-2.057,17.811,-0.013295662,1775.1,0.002541511
2020-06-23,9629.658203,44.179279,0.18868,244.142151,0.000228,3131.290039,-0.236,18.239,0.024030094,1782,0.003887105
2020-06-22,9648.717773,44.188004,0.189272,242.533188,0.000224,3117.860107,0.757,18.074,-0.009046549,1766.4,-0.008754209
2020-06-19,9288.018555,42.679832,0.18679,227.13829,0.000213,3097.73999,-1.355,18.022,-0.002877061,1753,-0.007586051
2020-06-18,9411.84082,43.560131,0.190957,232.101166,0.000216,3115.340088,0.442,17.67,-0.019531683,1731.1,-0.012492869
2020-06-17,9480.254883,44.032356,0.193443,233.028275,0.000224,3113.48999,-0.722,17.775,0.005942275,1735.6,0.002599503
2020-06-16,9538.024414,43.877258,0.191307,234.416168,0.000224,3124.73999,-0.2,17.652,-0.006919831,1736.5,0.000518553
2020-06-15,9450.702148,43.914295,0.193074,229.928909,0.000219,3066.590088,2.433,17.399,-0.014332654,1727.2,-0.0053556
2020-06-12,9480.84375,44.828053,0.193943,237.49321,0.000223,3041.310059,-0.968,17.482,0.004770389,1737.3,0.005847615
