date,BTC,BTC_change%,LTC,LTC_change%,XRP,XRP_change%,ETH,ETH_change%,sp500_close,sp500_change%,silver_close,silver_rate%,gold_close,gold_rate%,bonds5yr_close
2020-07-30,11111.213867,0.103,56.643112,2.799,0.244522,0.522,334.586639,5.167999999999998,3246.219971,0.447,23.362,-0.03526594,1966.8,-0.009617806,0.0023
2020-07-29,11100.467773,1.7180000000000002,55.17200500000001,-0.755,0.243099,5.627000000000002,318.1908870000001,0.517,3258.439941,0.9670000000000001,24.320999999999998,0.041049568,1976.7,0.005033557,0.0025
2020-07-28,10912.823242,-0.95,55.57520699999999,4.738,0.230277,2.854,316.657257,-1.607,3218.439941,-0.489,24.3,-0.0008634510000000001,1963.9,-0.006475439,0.0026
2020-07-27,10990.873047,10.96,52.950027,10.373,0.223672,4.057,321.5140990000001,3.829,3239.409912,0.608,24.500999999999998,0.008271605,1955.4,-0.004328123,0.003
2020-07-24,9536.892578,-0.507,44.182541,-1.4880000000000002,0.204049,-1.809,279.21542400000004,1.635,3215.6298829999996,-0.092,22.85,-0.067385005,1897.5,-0.02961031,0.0027
2020-07-23,9581.072266,0.5660000000000001,44.850079,-0.199,0.207578,2.09,274.689056,4.688,3235.659912,-1.1,22.988000000000003,0.006039386999999999,1890.0,-0.003952569,0.0027
2020-07-22,9525.363281,1.6030000000000002,44.936115,3.048,0.203342,2.166,262.190643,7.0,3276.02002,0.65,23.144000000000002,0.006786149,1865.1,-0.013174603,0.0027
2020-07-21,9374.887695,2.318,43.61615,3.912,0.198988,2.114,245.016724,3.688,3257.300049,-0.34299999999999997,21.557,-0.068570688,1843.9,-0.011366683,0.0027
2020-07-20,9164.231445,-0.25,41.975811,-1.352,0.195065,-2.049,236.153168,-0.982,3251.840088,0.8540000000000001,20.192,-0.063320499,1817.4,-0.014371712,0.0029
2020-07-17,9151.392578,0.214,41.912815,-0.306,0.194281,0.119,232.773087,-0.393,3224.72998,0.016,19.764,-0.021196512999999997,1810.0,-0.004071751,0.0029
2020-07-16,9132.227539,-0.65,42.035439,-2.839,0.194048,-1.507,233.640884,-2.017,3215.570068,0.225,19.573,-0.009664035999999999,1800.3,-0.005359116,0.0028000000000000004
2020-07-15,9192.836914,-0.531,43.278957,-1.168,0.197111,-0.835,238.423523,-0.716,3226.560059,0.018000000000000002,19.761,0.009605068000000001,1813.8,0.00749875,0.0028000000000000004
